date,0x5d22045DAcEAB03B158031eCB7D9d06Fad24609b
2021-11-23,2823.42706091
2021-11-24,2868.83596091
2021-11-25,2922.56993026
2021-11-26,3078.68761791
2021-11-27,2214.30032717
2021-11-28,2242.08889417
2021-11-29,2261.73834238
2021-11-30,2307.79797751
2021-12-01,2436.09215751
2021-12-02,2543.02393848
2021-12-03,2713.99982121
2021-12-04,2698.44595871
2021-12-05,2897.43717712
2021-12-06,2967.17429798
2021-12-07,2250.27019978
2021-12-08,2298.21111452
2021-12-09,2300.62441354
2021-12-10,2316.40079735
2021-12-11,2320.97882525
2021-12-12,2351.00922157
2021-12-13,2326.10164599
2021-12-14,2326.07170834
2021-12-15,2348.62979913
2021-12-16,2380.6663625
2021-12-17,2395.05385039
2021-12-18,2455.7198139
2021-12-19,2477.92430952
2021-12-20,2477.46430952
2021-12-21,2481.03220945
2021-12-22,2498.63304432
2021-12-23,2499.52002923
2021-12-24,2527.52492923
2021-12-25,2536.77492923
2021-12-26,2638.07192923
2021-12-27,2077.90921299
2021-12-28,2081.84942072
2021-12-29,2099.12710204
2021-12-30,2107.96395241
2021-12-31,2116.27058042
2022-01-01,2167.4837297
2022-01-02,2179.03972969
2022-01-03,2372.29704987
2022-01-04,2221.64138809
2022-01-05,2335.45627522
2022-01-06,2397.62147014
2022-01-07,2598.21347014
2022-01-08,2646.61216792
2022-01-09,2649.27634048
2022-01-10,2666.27337895
2022-01-11,2667.07337895
2022-01-12,2716.03139102
2022-01-13,2722.41991502
2022-01-14,2726.79421502
2022-01-15,2705.37381717
2022-01-16,2709.77381717
2022-01-17,2713.11311717
2022-01-18,2700.81042871
2022-01-19,2747.92438078
2022-01-20,2749.13205212
2022-01-21,2762.04355212
2022-01-22,2764.72377886
2022-01-23,1849.00048033
2022-01-24,1855.00048033
2022-01-25,1955.46048033
2022-01-26,1975.22155926
2022-01-27,1987.52532522
2022-01-28,2005.52532522
2022-01-29,2006.3450089
2022-01-30,2007.0600089
2022-01-31,2018.5970089
2022-02-01,2050.5947089
2022-02-02,2058.52406995
2022-02-03,2060.23506995
2022-02-04,2061.11506995
2022-02-05,2213.52485957
2022-02-06,2213.73485957
2022-02-07,2452.5545457
2022-02-08,2474.17839276
2022-02-09,2696.45419758
2022-02-10,1983.15106446
2022-02-11,1987.25106446
2022-02-12,1987.70079253
2022-02-13,1987.70079253
2022-02-14,2000.58124903
2022-02-15,2001.30456236
2022-02-16,2002.66495685
2022-02-17,2005.2753177
2022-02-18,2006.60939769
2022-02-19,2007.26939769
2022-02-20,2014.87209598
2022-02-21,2015.41692013
2022-02-22,2016.00732239
2022-02-23,2027.00732239
2022-02-24,2432.50206376
2022-02-25,2462.12706376
2022-02-26,2470.17293027
2022-02-27,2493.16588663
2022-02-28,2561.62722175
2022-03-01,2069.34769048
2022-03-02,2082.13560392
2022-03-03,2123.38560392
2022-03-04,2155.18560392
2022-03-05,1886.51645151
