date,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2022-04-27,6202202.959848166
2022-04-28,6076831.02764407
2022-04-29,5994144.908052529
2022-04-30,6019510.640291765
2022-05-01,6004131.338897189
2022-05-02,5940007.128537428
2022-05-03,5903561.038087775
2022-05-04,5899962.225800115
2022-05-05,5865967.714508515
2022-05-06,5923938.702876475
2022-05-07,5965979.640299232
2022-05-08,5990921.69867335
2022-05-09,5990832.066011888
2022-05-10,6023506.654596681
2022-05-11,5945657.528199148
2022-05-12,5703297.672222955
2022-05-13,5848800.799315512
2022-05-14,5924750.060123077
2022-05-15,5928080.757040839
2022-05-16,5876824.0756844
2022-05-17,5844213.146106781
2022-05-18,5833889.8961733915
2022-05-19,5871849.792710857
2022-05-20,5781983.30127563
2022-05-21,5805512.531126921
2022-05-22,5820430.499743095
2022-05-23,5797045.666481254
2022-05-24,5795042.257748079
2022-05-25,5818202.196103677
2022-05-26,5855915.639558017
2022-05-27,5881279.922365932
2022-05-28,5850686.001225839
2022-05-29,5833057.032737739
2022-05-30,5812105.527004212
2022-05-31,5733692.843127772
2022-06-01,5713998.969533224
2022-06-02,5765198.817530732
2022-06-03,5756307.75191636
2022-06-04,5764793.462034034
2022-06-05,5726713.977730965
2022-06-06,5773075.725623189
2022-06-07,5804904.4634778015
2022-06-08,5807863.675790118
2022-06-09,5817312.736297388
2022-06-10,5698512.809159279
2022-06-11,5645679.752480721
2022-06-12,5646559.942800578
2022-06-13,5611482.142416971
2022-06-14,5488490.877823758
2022-06-15,5368300.478605296
2022-06-16,5304249.010224129
2022-06-17,5379946.144401801
2022-06-18,4866338.4922150485
2022-06-19,4871938.33950281
2022-06-20,4754646.494416348
2022-06-21,4753484.5398485
2022-06-22,4762361.799362783
2022-06-23,4805871.263992093
2022-06-24,4781977.132371074
2022-06-25,4749168.281427878
2022-06-26,4763288.5662450725
